trial_id,lock_enabled,arrival_offset_s,head_on_events,deadlocks,lock_wait_s,corridor_time_s,timeout,makespan_s,success,nodes_outside_corridor,replans,total_lock_wait_s
1,1,2.747,0,0,0.0,23.8,0,23.85,1,3,31,0.0
1,0,2.747,1,0,0.0,120.05,1,120.05,0,0,6,0.0
2,1,2.298,0,0,0.0,22.65,0,22.7,1,3,26,0.0
2,0,2.298,1,0,0.0,120.05,1,120.05,0,0,6,0.0
3,1,2.76,0,0,0.0,23.95,0,24.0,1,3,31,0.0
3,0,2.76,1,0,0.0,120.05,1,120.05,0,0,6,0.0
4,1,1.513,1,0,0.0,120.05,1,120.05,0,0,22,0.0
4,0,1.513,1,0,0.0,22.05,0,22.1,1,0,15,0.0
5,1,0.602,2,0,0.0,31.05,0,31.1,1,3,21,0.0
5,0,0.602,1,0,0.0,120.05,1,120.05,0,0,9,0.0
6,1,0.139,2,0,0.0,31.25,0,31.3,1,3,23,0.0
6,0,0.139,1,0,0.0,120.05,1,120.05,0,0,10,0.0
7,1,1.094,3,0,0.0,44.2,0,44.25,1,0,23,0.2
7,0,1.094,1,0,0.0,51.0,0,51.05,1,0,15,0.0
8,1,2.783,0,0,0.0,23.95,0,24.0,1,3,31,0.0
8,0,2.783,1,0,0.0,120.05,1,120.05,0,0,6,0.0
9,1,1.71,0,0,0.0,21.1,0,21.15,1,3,26,0.0
9,0,1.71,1,0,0.0,22.2,0,22.25,1,0,15,0.0
10,1,0.998,3,0,0.0,45.05,0,45.1,1,0,24,0.15
10,0,0.998,1,0,0.0,61.25,0,61.3,1,0,17,0.0
11,1,0.815,2,0,0.0,31.05,0,31.1,1,3,22,0.0
11,0,0.815,1,0,0.0,120.05,1,120.05,0,0,9,0.0
12,1,2.469,0,0,0.0,23.15,0,23.2,1,3,26,0.0
12,0,2.469,1,0,0.0,120.05,1,120.05,0,0,6,0.0
13,1,2.011,0,0,0.0,21.95,0,22.0,1,3,27,0.0
13,0,2.011,1,0,0.0,120.05,1,120.05,0,0,6,0.0
14,1,1.68,0,0,0.0,20.95,0,21.0,1,3,27,0.0
14,0,1.68,1,0,0.0,22.15,0,22.2,1,0,15,0.0
15,1,2.412,0,0,0.0,23.05,0,23.1,1,3,26,0.0
15,0,2.412,1,0,0.0,120.05,1,120.05,0,0,6,0.0
16,1,1.751,0,0,0.0,21.25,0,21.3,1,3,26,0.0
16,0,1.751,1,0,0.0,22.2,0,22.25,1,0,15,0.0
17,1,1.358,1,0,0.0,120.05,1,120.05,0,0,20,0.0
17,0,1.358,1,0,0.0,21.85,0,21.9,1,0,15,0.0
18,1,0.862,3,0,0.0,44.55,0,44.6,1,0,25,0.15
18,0,0.862,1,0,0.0,70.6,0,70.65,1,0,17,0.0
19,1,0.043,2,0,0.0,31.25,0,31.3,1,3,24,0.0
19,0,0.043,1,0,0.0,120.05,1,120.05,0,0,10,0.0
20,1,0.546,2,0,0.0,31.1,0,31.15,1,3,21,0.0
20,0,0.546,1,0,0.0,120.05,1,120.05,0,0,9,0.0
21,1,2.478,0,0,0.0,23.15,0,23.2,1,3,26,0.0
21,0,2.478,1,0,0.0,120.05,1,120.05,0,0,6,0.0
22,1,2.692,0,0,0.0,23.7,0,23.75,1,3,30,0.0
22,0,2.692,1,0,0.0,120.05,1,120.05,0,0,6,0.0
23,1,1.131,3,0,0.0,45.35,0,45.4,1,0,25,0.2
23,0,1.131,1,0,0.0,43.8,0,43.85,1,0,15,0.0
24,1,0.613,2,0,0.0,31.05,0,31.1,1,3,21,0.0
24,0,0.613,1,0,0.0,120.05,1,120.05,0,0,9,0.0
25,1,1.238,3,0,0.0,45.7,0,45.75,1,0,24,0.2
25,0,1.238,1,0,0.0,31.95,0,32.0,1,0,15,0.0
26,1,1.024,3,0,0.0,44.4,0,44.45,1,0,26,0.2
26,0,1.024,1,0,0.0,54.65,0,54.7,1,0,17,0.0
27,1,1.537,1,0,0.0,120.05,1,120.05,0,0,22,0.0
27,0,1.537,1,0,0.0,22.05,0,22.1,1,0,15,0.0
28,1,2.606,0,0,0.0,23.55,0,23.6,1,3,31,0.0
28,0,2.606,1,0,0.0,120.05,1,120.05,0,0,6,0.0
29,1,2.814,0,0,0.0,24.05,0,24.1,1,3,30,0.0
29,0,2.814,1,0,0.0,120.05,1,120.05,0,0,6,0.0
30,1,0.266,2,0,0.0,31.15,0,31.2,1,3,23,0.0
30,0,0.266,1,0,0.0,120.05,1,120.05,0,0,10,0.0
31,1,1.922,0,0,0.0,21.7,0,21.75,1,3,27,0.0
31,0,1.922,1,0,0.0,120.05,1,120.05,0,0,6,0.0
32,1,2.801,0,0,0.0,24.05,0,24.1,1,3,30,0.0
32,0,2.801,1,0,0.0,120.05,1,120.05,0,0,6,0.0
33,1,1.093,3,0,0.0,44.2,0,44.25,1,0,23,0.2
33,0,1.093,1,0,0.0,51.0,0,51.05,1,0,15,0.0
34,1,0.226,2,0,0.0,31.2,0,31.25,1,3,24,0.0
34,0,0.226,1,0,0.0,120.05,1,120.05,0,0,10,0.0
35,1,0.135,2,0,0.0,31.25,0,31.3,1,3,23,0.0
35,0,0.135,1,0,0.0,120.05,1,120.05,0,0,10,0.0
36,1,1.317,1,0,0.0,120.05,1,120.05,0,0,19,0.0
36,0,1.317,1,0,0.0,21.85,0,21.9,1,0,15,0.0
37,1,2.992,0,0,0.0,24.4,0,24.45,1,3,31,0.0
37,0,2.992,1,0,0.0,120.05,1,120.05,0,0,6,0.0
38,1,0.742,2,0,0.0,31.05,0,31.1,1,3,22,0.0
38,0,0.742,1,0,0.0,120.05,1,120.05,0,0,9,0.0
39,1,1.764,0,0,0.0,21.25,0,21.3,1,3,26,0.0
39,0,1.764,1,0,0.0,22.2,0,22.25,1,0,15,0.0
40,1,2.531,0,0,0.0,23.3,0,23.35,1,3,30,0.0
40,0,2.531,1,0,0.0,120.05,1,120.05,0,0,6,0.0
41,1,2.297,0,0,0.0,22.65,0,22.7,1,3,26,0.0
41,0,2.297,1,0,0.0,120.05,1,120.05,0,0,6,0.0
42,1,2.31,0,0,0.0,22.8,0,22.85,1,3,26,0.0
42,0,2.31,1,0,0.0,120.05,1,120.05,0,0,6,0.0
43,1,0.02,2,0,0.0,31.25,0,31.3,1,3,24,0.0
43,0,0.02,1,0,0.0,120.05,1,120.05,0,0,10,0.0
44,1,1.955,0,0,0.0,21.85,0,21.9,1,3,26,0.0
44,0,1.955,1,0,0.0,120.05,1,120.05,0,0,6,0.0
45,1,2.093,0,0,0.0,22.1,0,22.15,1,3,26,0.0
45,0,2.093,1,0,0.0,120.05,1,120.05,0,0,6,0.0
46,1,1.604,1,0,0.0,120.05,1,120.05,0,0,22,0.0
46,0,1.604,1,0,0.0,22.1,0,22.15,1,0,15,0.0
47,1,1.138,3,0,0.0,45.35,0,45.4,1,0,25,0.2
47,0,1.138,1,0,0.0,43.8,0,43.85,1,0,15,0.0
48,1,2.491,0,0,0.0,23.15,0,23.2,1,3,26,0.0
48,0,2.491,1,0,0.0,120.05,1,120.05,0,0,6,0.0
49,1,0.505,2,0,0.0,31.1,0,31.15,1,3,21,0.0
49,0,0.505,1,0,0.0,120.05,1,120.05,0,0,9,0.0
50,1,1.555,1,0,0.0,120.05,1,120.05,0,0,22,0.0
50,0,1.555,1,0,0.0,22.0,0,22.05,1,0,13,0.0
