trial_id,mesh_enabled,separation_m,local_detection_time_s,reroute_time_s,anticipation_lead_time_s,backtrack_distance_m,path_length_m,makespan_s,success
1,0,9.64,1.9,2.05,-0.15,3.617,32.85,31.65,1
1,1,9.64,12.0,0.0,12.0,1.078,25.1,22.5,1
2,0,9.82,2.0,2.05,-0.05,3.067,24.52,22.85,1
2,1,9.82,33.3,0.0,33.3,5.698,41.88,38.5,1
3,0,8.53,0.8,0.85,-0.05,1.692,23.78,21.4,1
3,1,8.53,10.95,0.0,10.95,1.078,25.1,22.5,1
4,0,8.99,1.35,1.45,-0.1,2.757,27.36,26.2,1
4,1,8.99,11.5,0.0,11.5,1.078,25.1,22.5,1
5,0,8.68,1.1,1.15,-0.05,2.024,21.52,19.05,1
5,1,8.68,5.65,0.0,5.65,0.729,19.48,17.15,1
6,0,8.56,0.8,0.85,-0.05,1.692,23.78,21.4,1
6,1,8.56,10.95,0.0,10.95,1.078,25.1,22.5,1
7,0,8.44,0.9,1.0,-0.1,1.871,23.6,21.25,1
7,1,8.44,11.0,0.0,11.0,1.078,25.1,22.5,1
8,0,8.13,0.55,0.7,-0.15,1.49,20.4,18.05,1
8,1,8.13,5.1,0.0,5.1,0.729,19.48,17.15,1
9,0,10.77,2.7,2.8,-0.1,3.987,29.7,26.9,1
9,1,10.77,12.9,0.0,12.9,1.078,25.1,22.5,1
10,0,10.68,2.65,2.8,-0.15,3.987,29.7,26.9,1
10,1,10.68,12.9,0.0,12.9,1.078,25.1,22.5,1
11,0,9.92,2.1,2.2,-0.1,3.299,28.9,26.6,1
11,1,9.92,6.75,0.0,6.75,0.729,19.48,17.15,1
12,0,8.27,0.65,0.7,-0.05,1.553,24.02,21.6,1
12,1,8.27,10.8,0.0,10.8,1.078,25.1,22.5,1
13,0,8.81,1.1,1.15,-0.05,2.047,23.1,20.85,1
13,1,8.81,11.2,0.0,11.2,1.078,25.1,22.5,1
14,0,8.53,0.9,1.0,-0.1,1.871,23.6,21.25,1
14,1,8.53,11.1,0.0,11.1,1.078,25.1,22.5,1
15,0,9.1,1.25,1.3,-0.05,2.189,22.5,20.35,1
15,1,9.1,11.4,0.0,11.4,1.078,25.1,22.5,1
16,0,10.31,2.35,2.5,-0.15,3.656,29.75,27.25,1
16,1,10.31,6.95,0.0,6.95,0.729,19.48,17.15,1
17,0,9.95,2.15,2.2,-0.05,3.808,27.65,26.7,1
17,1,9.95,12.25,0.0,12.25,1.078,25.1,22.5,1
18,0,8.43,0.9,1.0,-0.1,1.854,20.93,18.55,1
18,1,8.43,5.45,0.0,5.45,0.729,19.48,17.15,1
19,0,8.63,0.95,1.0,-0.05,1.854,20.93,18.55,1
19,1,8.63,5.5,0.0,5.5,0.729,19.48,17.15,1
20,0,10.42,2.4,2.5,-0.1,3.643,29.69,26.95,1
20,1,10.42,12.6,0.0,12.6,1.078,25.1,22.5,1
21,0,9.68,1.75,1.9,-0.15,2.97,27.58,26.05,1
21,1,9.68,11.85,0.0,11.85,1.078,25.1,22.5,1
22,0,9.61,1.75,1.9,-0.15,2.97,27.58,26.05,1
22,1,9.61,11.8,0.0,11.8,1.078,25.1,22.5,1
