channel,packet_loss_rate,latency_s,trial_id,mesh_enabled,anticipation_lead_time_s,backtrack_distance_m,path_length_m,makespan_s,success
loss00_lat000ms,0.0,0.0,1,0,-0.15,3.617,32.85,31.65,1
loss00_lat000ms,0.0,0.0,1,1,12.0,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,2,0,-0.05,3.067,24.52,22.85,1
loss00_lat000ms,0.0,0.0,2,1,33.3,5.698,41.88,38.5,1
loss00_lat000ms,0.0,0.0,3,0,-0.05,1.692,23.78,21.4,1
loss00_lat000ms,0.0,0.0,3,1,10.95,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,4,0,-0.1,2.757,27.36,26.2,1
loss00_lat000ms,0.0,0.0,4,1,11.5,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,5,0,-0.05,2.024,21.52,19.05,1
loss00_lat000ms,0.0,0.0,5,1,5.65,0.729,19.48,17.15,1
loss00_lat000ms,0.0,0.0,6,0,-0.05,1.692,23.78,21.4,1
loss00_lat000ms,0.0,0.0,6,1,10.95,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,7,0,-0.1,1.871,23.6,21.25,1
loss00_lat000ms,0.0,0.0,7,1,11.0,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,8,0,-0.15,1.49,20.4,18.05,1
loss00_lat000ms,0.0,0.0,8,1,5.1,0.729,19.48,17.15,1
loss00_lat000ms,0.0,0.0,9,0,-0.1,3.987,29.7,26.9,1
loss00_lat000ms,0.0,0.0,9,1,12.9,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,10,0,-0.15,3.987,29.7,26.9,1
loss00_lat000ms,0.0,0.0,10,1,12.9,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,11,0,-0.1,3.299,28.9,26.6,1
loss00_lat000ms,0.0,0.0,11,1,6.75,0.729,19.48,17.15,1
loss00_lat000ms,0.0,0.0,12,0,-0.05,1.553,24.02,21.6,1
loss00_lat000ms,0.0,0.0,12,1,10.8,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,13,0,-0.05,2.047,23.1,20.85,1
loss00_lat000ms,0.0,0.0,13,1,11.2,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,14,0,-0.1,1.871,23.6,21.25,1
loss00_lat000ms,0.0,0.0,14,1,11.1,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,15,0,-0.05,2.189,22.5,20.35,1
loss00_lat000ms,0.0,0.0,15,1,11.4,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,16,0,-0.15,3.656,29.75,27.25,1
loss00_lat000ms,0.0,0.0,16,1,6.95,0.729,19.48,17.15,1
loss00_lat000ms,0.0,0.0,17,0,-0.05,3.808,27.65,26.7,1
loss00_lat000ms,0.0,0.0,17,1,12.25,1.078,25.1,22.5,1
loss00_lat000ms,0.0,0.0,18,0,-0.1,1.854,20.93,18.55,1
loss00_lat000ms,0.0,0.0,18,1,5.45,0.729,19.48,17.15,1
loss00_lat000ms,0.0,0.0,19,0,-0.05,1.854,20.93,18.55,1
loss00_lat000ms,0.0,0.0,19,1,5.5,0.729,19.48,17.15,1
loss00_lat000ms,0.0,0.0,20,0,-0.1,3.643,29.69,26.95,1
loss00_lat000ms,0.0,0.0,20,1,12.6,1.078,25.1,22.5,1
loss00_lat100ms,0.0,0.1,1,0,-0.15,3.617,32.85,31.65,1
loss00_lat100ms,0.0,0.1,1,1,11.8,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,2,0,-0.05,3.067,24.52,22.85,1
loss00_lat100ms,0.0,0.1,2,1,33.75,5.831,42.49,39.05,1
loss00_lat100ms,0.0,0.1,3,0,-0.05,1.692,23.78,21.4,1
loss00_lat100ms,0.0,0.1,3,1,10.75,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,4,0,-0.1,2.757,27.36,26.2,1
loss00_lat100ms,0.0,0.1,4,1,11.35,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,5,0,-0.05,2.024,21.52,19.05,1
loss00_lat100ms,0.0,0.1,5,1,5.65,0.831,19.58,17.25,1
loss00_lat100ms,0.0,0.1,6,0,-0.05,1.692,23.78,21.4,1
loss00_lat100ms,0.0,0.1,6,1,10.75,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,7,0,-0.1,1.871,23.6,21.25,1
loss00_lat100ms,0.0,0.1,7,1,10.85,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,8,0,-0.15,1.49,20.4,18.05,1
loss00_lat100ms,0.0,0.1,8,1,5.1,0.831,19.58,17.25,1
loss00_lat100ms,0.0,0.1,9,0,-0.1,3.987,29.7,26.9,1
loss00_lat100ms,0.0,0.1,9,1,12.7,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,10,0,-0.15,3.987,29.7,26.9,1
loss00_lat100ms,0.0,0.1,10,1,12.7,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,11,0,-0.1,3.299,28.9,26.6,1
loss00_lat100ms,0.0,0.1,11,1,6.75,0.831,19.58,17.25,1
loss00_lat100ms,0.0,0.1,12,0,-0.05,1.553,24.02,21.6,1
loss00_lat100ms,0.0,0.1,12,1,10.6,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,13,0,-0.05,2.047,23.1,20.85,1
loss00_lat100ms,0.0,0.1,13,1,11.0,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,14,0,-0.1,1.871,23.6,21.25,1
loss00_lat100ms,0.0,0.1,14,1,10.9,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,15,0,-0.05,2.189,22.5,20.35,1
loss00_lat100ms,0.0,0.1,15,1,11.2,1.147,24.98,22.4,1
loss00_lat100ms,0.0,0.1,16,0,-0.15,3.656,29.75,27.25,1
loss00_lat100ms,0.0,0.1,16,1,6.95,0.831,19.58,17.25,1
loss00_lat100ms,0.0,0.1,17,0,-0.05,3.808,27.65,26.7,1
loss00_lat100ms,0.0,0.1,17,1,12.05,1.147,24.98,22.4,1
