trial_id,cell,h_prox_routing,social_routing,yielding,success,timeout,makespan_s,intimate_exposure_person_ticks,intimate_exposure_person_s,intimate_encounters,replans
1,A_prox_off_yield_off,0,0,0,1,0,19.2,129,6.45,5,77
2,A_prox_off_yield_off,0,0,0,1,0,19.2,124,6.2,5,77
3,A_prox_off_yield_off,0,0,0,1,0,19.2,122,6.1,5,77
4,A_prox_off_yield_off,0,0,0,1,0,19.2,129,6.45,5,77
5,A_prox_off_yield_off,0,0,0,1,0,19.2,124,6.2,5,77
6,A_prox_off_yield_off,0,0,0,1,0,19.2,137,6.85,5,77
7,A_prox_off_yield_off,0,0,0,1,0,19.2,120,6.0,5,77
8,A_prox_off_yield_off,0,0,0,1,0,19.2,133,6.65,5,77
9,A_prox_off_yield_off,0,0,0,1,0,19.2,128,6.4,5,77
10,A_prox_off_yield_off,0,0,0,1,0,19.2,132,6.6,5,77
11,A_prox_off_yield_off,0,0,0,1,0,19.2,125,6.25,5,77
12,A_prox_off_yield_off,0,0,0,1,0,19.2,128,6.4,5,77
13,A_prox_off_yield_off,0,0,0,1,0,19.2,121,6.05,5,77
14,A_prox_off_yield_off,0,0,0,1,0,19.2,137,6.85,5,77
15,A_prox_off_yield_off,0,0,0,1,0,19.2,129,6.45,5,77
16,A_prox_off_yield_off,0,0,0,1,0,19.2,133,6.65,5,77
17,A_prox_off_yield_off,0,0,0,1,0,19.2,124,6.2,5,77
18,A_prox_off_yield_off,0,0,0,1,0,19.2,131,6.55,5,77
19,A_prox_off_yield_off,0,0,0,1,0,19.2,132,6.6,5,77
20,A_prox_off_yield_off,0,0,0,1,0,19.2,141,7.05,5,77
21,A_prox_off_yield_off,0,0,0,1,0,19.2,129,6.45,5,77
22,A_prox_off_yield_off,0,0,0,1,0,19.2,129,6.45,5,77
23,A_prox_off_yield_off,0,0,0,1,0,19.2,141,7.05,5,77
24,A_prox_off_yield_off,0,0,0,1,0,19.2,121,6.05,5,77
25,A_prox_off_yield_off,0,0,0,1,0,19.2,136,6.8,5,77
26,A_prox_off_yield_off,0,0,0,1,0,19.2,134,6.7,5,77
27,A_prox_off_yield_off,0,0,0,1,0,19.2,129,6.45,5,77
28,A_prox_off_yield_off,0,0,0,1,0,19.2,136,6.8,5,77
29,A_prox_off_yield_off,0,0,0,1,0,19.2,135,6.75,5,77
30,A_prox_off_yield_off,0,0,0,1,0,19.2,127,6.35,5,77
31,A_prox_off_yield_off,0,0,0,1,0,19.2,125,6.25,5,77
32,A_prox_off_yield_off,0,0,0,1,0,19.2,120,6.0,5,77
33,A_prox_off_yield_off,0,0,0,1,0,19.2,124,6.2,5,77
34,A_prox_off_yield_off,0,0,0,1,0,19.2,131,6.55,5,77
35,A_prox_off_yield_off,0,0,0,1,0,19.2,131,6.55,5,77
36,A_prox_off_yield_off,0,0,0,1,0,19.2,122,6.1,5,77
37,A_prox_off_yield_off,0,0,0,1,0,19.2,132,6.6,5,77
38,A_prox_off_yield_off,0,0,0,1,0,19.2,121,6.05,5,77
39,A_prox_off_yield_off,0,0,0,1,0,19.2,133,6.65,5,77
40,A_prox_off_yield_off,0,0,0,1,0,19.2,126,6.3,5,77
41,A_prox_off_yield_off,0,0,0,1,0,19.2,127,6.35,5,77
42,A_prox_off_yield_off,0,0,0,1,0,19.2,123,6.15,5,77
43,A_prox_off_yield_off,0,0,0,1,0,19.2,126,6.3,5,77
44,A_prox_off_yield_off,0,0,0,1,0,19.2,129,6.45,5,77
45,A_prox_off_yield_off,0,0,0,1,0,19.2,129,6.45,5,77
46,A_prox_off_yield_off,0,0,0,1,0,19.2,125,6.25,5,77
47,A_prox_off_yield_off,0,0,0,1,0,19.2,133,6.65,5,77
48,A_prox_off_yield_off,0,0,0,1,0,19.2,131,6.55,5,77
49,A_prox_off_yield_off,0,0,0,1,0,19.2,130,6.5,5,77
50,A_prox_off_yield_off,0,0,0,1,0,19.2,120,6.0,5,77
1,B_prox_off_yield_on,0,0,1,0,1,180.0,915,45.75,7,94
2,B_prox_off_yield_on,0,0,1,1,0,126.5,648,32.4,3,98
3,B_prox_off_yield_on,0,0,1,0,1,180.0,893,44.65,6,95
4,B_prox_off_yield_on,0,0,1,0,1,180.0,1360,68.0,6,96
5,B_prox_off_yield_on,0,0,1,0,1,180.0,969,48.45,8,96
6,B_prox_off_yield_on,0,0,1,1,0,118.15,805,40.25,10,97
7,B_prox_off_yield_on,0,0,1,0,1,180.0,1359,67.95,12,95
8,B_prox_off_yield_on,0,0,1,0,1,180.0,1052,52.6,6,96
9,B_prox_off_yield_on,0,0,1,0,1,180.0,951,47.55,6,95
10,B_prox_off_yield_on,0,0,1,0,1,180.0,920,46.0,7,96
11,B_prox_off_yield_on,0,0,1,0,1,180.0,963,48.15,8,96
12,B_prox_off_yield_on,0,0,1,0,1,180.0,974,48.7,9,96
13,B_prox_off_yield_on,0,0,1,0,1,180.0,1419,70.95,22,96
14,B_prox_off_yield_on,0,0,1,0,1,180.0,1309,65.45,10,95
15,B_prox_off_yield_on,0,0,1,0,1,180.0,1753,87.65,13,96
16,B_prox_off_yield_on,0,0,1,0,1,180.0,795,39.75,5,96
17,B_prox_off_yield_on,0,0,1,0,1,180.0,950,47.5,7,95
18,B_prox_off_yield_on,0,0,1,0,1,180.0,193,9.65,4,96
19,B_prox_off_yield_on,0,0,1,0,1,180.0,481,24.05,4,95
20,B_prox_off_yield_on,0,0,1,0,1,180.0,1421,71.05,10,95
21,B_prox_off_yield_on,0,0,1,0,1,180.0,1045,52.25,7,95
22,B_prox_off_yield_on,0,0,1,1,0,123.9,437,21.85,4,97
23,B_prox_off_yield_on,0,0,1,0,1,180.0,927,46.35,6,96
24,B_prox_off_yield_on,0,0,1,0,1,180.0,762,38.1,7,96
25,B_prox_off_yield_on,0,0,1,0,1,180.0,655,32.75,7,96
26,B_prox_off_yield_on,0,0,1,0,1,180.0,957,47.85,4,96
27,B_prox_off_yield_on,0,0,1,0,1,180.0,927,46.35,6,95
28,B_prox_off_yield_on,0,0,1,0,1,180.0,1044,52.2,9,96
29,B_prox_off_yield_on,0,0,1,0,1,180.0,663,33.15,6,96
30,B_prox_off_yield_on,0,0,1,0,1,180.0,297,14.85,7,96
31,B_prox_off_yield_on,0,0,1,0,1,180.0,1559,77.95,6,97
32,B_prox_off_yield_on,0,0,1,0,1,180.0,570,28.5,3,95
33,B_prox_off_yield_on,0,0,1,0,1,180.0,713,35.65,10,96
34,B_prox_off_yield_on,0,0,1,0,1,180.0,1110,55.5,7,96
35,B_prox_off_yield_on,0,0,1,0,1,180.0,1140,57.0,15,96
36,B_prox_off_yield_on,0,0,1,0,1,180.0,1045,52.25,4,96
37,B_prox_off_yield_on,0,0,1,0,1,180.0,1836,91.8,11,96
38,B_prox_off_yield_on,0,0,1,0,1,180.0,879,43.95,5,95
39,B_prox_off_yield_on,0,0,1,1,0,131.15,719,35.95,7,97
40,B_prox_off_yield_on,0,0,1,0,1,180.0,1163,58.15,12,96
41,B_prox_off_yield_on,0,0,1,0,1,180.0,1839,91.95,13,96
42,B_prox_off_yield_on,0,0,1,0,1,180.0,1278,63.9,12,96
