trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
1,2,4,100.0,24.7,0.085,0.0,56
1,6,4,100.0,28.65,0.113,0.03,67
1,12,4,100.0,40.55,0.098,0.52,41
1,18,4,100.0,28.55,0.152,0.46,42
1,24,4,100.0,58.35,0.106,1.85,63
1,30,4,100.0,36.35,0.208,0.84,46
2,2,4,100.0,51.85,0.106,0.02,89
2,6,4,100.0,39.4,0.088,0.18,72
2,12,4,100.0,31.55,0.137,0.0,53
2,18,4,100.0,57.1,0.182,0.83,52
2,24,4,100.0,58.85,0.198,0.77,59
2,30,4,100.0,44.6,0.319,0.33,50
3,2,4,100.0,21.2,0.116,0.07,123
3,6,4,100.0,34.25,0.126,0.08,61
3,12,4,100.0,35.25,0.119,0.37,46
3,18,4,100.0,44.6,0.113,2.14,57
3,24,4,100.0,48.75,0.114,0.21,62
3,30,4,100.0,68.2,0.147,5.45,50
4,2,4,100.0,48.35,0.113,0.15,82
4,6,4,100.0,30.0,0.093,0.08,66
4,12,4,100.0,98.45,0.091,6.89,68
4,18,4,100.0,47.05,0.132,0.42,55
4,24,4,100.0,58.55,0.228,0.44,47
4,30,4,100.0,46.1,0.174,0.31,53
5,2,4,100.0,34.25,0.094,0.0,90
5,6,4,100.0,24.55,0.107,0.0,93
5,12,4,100.0,60.15,0.159,2.0,95
5,18,4,100.0,36.95,0.159,1.55,48
5,24,4,100.0,54.8,0.129,2.62,64
5,30,4,100.0,40.2,0.183,1.63,64
6,2,4,100.0,19.2,0.103,0.01,108
6,6,4,100.0,125.3,0.074,6.22,120
6,12,4,100.0,28.6,0.187,0.14,67
6,18,4,100.0,35.55,0.128,0.16,59
6,24,4,100.0,34.65,0.138,0.18,60
6,30,4,100.0,38.05,0.177,0.86,48
7,2,4,100.0,21.55,0.098,0.08,123
7,6,4,100.0,33.35,0.087,0.01,52
7,12,4,100.0,42.55,0.144,0.27,67
7,18,4,0.0,180.0,0.129,29.3,234
7,24,4,100.0,38.05,0.136,0.32,64
7,30,4,100.0,35.3,0.176,0.16,52
8,2,4,100.0,21.6,0.092,0.0,85
8,6,4,100.0,27.25,0.098,0.47,70
8,12,4,100.0,38.25,0.125,0.3,65
8,18,4,100.0,37.8,0.153,0.23,56
8,24,4,100.0,36.4,0.202,0.19,55
8,30,4,100.0,39.0,0.146,1.1,52
9,2,4,100.0,29.9,0.089,0.15,95
9,6,4,100.0,56.4,0.251,1.13,90
9,12,4,100.0,41.45,0.161,1.18,62
9,18,4,100.0,48.3,0.108,0.8,61
9,24,4,100.0,64.25,0.158,0.62,80
9,30,4,100.0,57.05,0.147,1.19,58
10,2,4,100.0,30.75,0.078,0.64,86
10,6,4,100.0,31.75,0.088,0.02,54
10,12,4,100.0,47.2,0.115,0.25,51
10,18,4,100.0,38.85,0.104,0.27,47
10,24,4,100.0,60.95,0.128,4.17,54
10,30,4,100.0,111.65,0.2,16.43,86
11,2,4,100.0,31.2,0.075,0.22,77
11,6,4,100.0,31.25,0.138,0.09,74
11,12,4,100.0,45.9,0.119,0.05,91
11,18,4,100.0,29.05,0.17,0.38,59
11,24,4,100.0,43.25,0.221,1.81,106
11,30,4,100.0,51.5,0.152,1.88,47
12,2,4,100.0,31.7,0.083,0.19,55
12,6,4,100.0,55.55,0.1,0.64,118
12,12,4,100.0,37.7,0.188,0.4,61
12,18,4,100.0,71.75,0.17,0.61,69
12,24,4,100.0,35.95,0.181,0.84,80
12,30,4,100.0,35.3,0.163,0.89,26
13,2,4,100.0,19.2,0.12,0.0,108
13,6,4,100.0,25.85,0.105,0.01,64
13,12,4,100.0,41.1,0.116,0.1,57
13,18,4,100.0,56.3,0.126,0.33,59
13,24,4,100.0,49.1,0.148,0.74,48
13,30,4,100.0,41.55,0.127,0.53,47
14,2,4,100.0,19.2,0.116,0.06,108
14,6,4,100.0,52.7,0.093,0.15,78
14,12,4,100.0,29.2,0.134,0.22,57
14,18,4,100.0,38.9,0.141,0.83,54
14,24,4,100.0,43.45,0.162,0.91,54
14,30,4,100.0,56.5,0.118,1.75,85
15,2,4,100.0,45.3,0.098,0.47,102
15,6,4,100.0,32.8,0.102,0.05,46
15,12,4,100.0,43.55,0.149,0.61,76
15,18,4,100.0,44.2,0.174,0.73,66
15,24,4,100.0,69.2,0.18,7.24,86
15,30,4,100.0,43.95,0.181,0.94,55
16,2,4,100.0,26.65,0.093,0.0,92
16,6,4,100.0,34.85,0.096,0.08,70
16,12,4,100.0,44.6,0.133,0.91,73
16,18,4,100.0,48.15,0.15,1.68,93
16,24,4,100.0,49.95,0.144,1.56,50
16,30,4,100.0,63.3,0.262,5.93,70
17,2,4,100.0,27.05,0.094,0.02,92
17,6,4,100.0,49.0,0.093,0.49,64
17,12,4,100.0,127.3,0.07,6.84,62
17,18,4,100.0,61.35,0.198,3.0,75
17,24,4,100.0,39.7,0.146,0.5,41
17,30,4,100.0,49.9,0.216,2.12,88
18,2,4,100.0,33.7,0.086,0.0,90
18,6,4,100.0,54.8,0.245,0.0,61
18,12,4,100.0,53.55,0.132,0.01,65
18,18,4,100.0,52.95,0.092,0.46,77
18,24,4,100.0,53.15,0.176,0.83,76
18,30,4,100.0,38.3,0.134,0.8,61
19,2,4,100.0,27.75,0.068,0.02,52
19,6,4,100.0,24.95,0.103,0.01,61
19,12,4,100.0,49.9,0.184,0.2,68
19,18,4,100.0,33.65,0.133,0.67,43
19,24,4,100.0,55.65,0.206,0.46,64
19,30,4,100.0,37.6,0.181,1.04,44
20,2,4,100.0,21.5,0.087,0.03,54
20,6,4,100.0,30.8,0.125,0.02,68
20,12,4,100.0,63.25,0.163,0.23,70
20,18,4,100.0,61.3,0.137,3.09,54
20,24,4,100.0,47.7,0.116,1.17,54
20,30,4,100.0,46.0,0.157,1.37,46
21,2,4,100.0,19.2,0.094,0.01,108
21,6,4,100.0,24.95,0.1,0.05,75
21,12,4,100.0,41.95,0.137,0.0,62
21,18,4,100.0,35.4,0.152,0.24,57
21,24,4,100.0,40.9,0.159,0.59,42
21,30,4,100.0,54.2,0.129,1.48,56
22,2,4,100.0,34.95,0.088,0.28,86
22,6,4,100.0,42.1,0.118,0.28,109
22,12,4,100.0,48.7,0.114,0.28,50
22,18,4,100.0,31.5,0.153,0.38,36
22,24,4,100.0,45.9,0.138,0.82,64
22,30,4,100.0,126.9,0.307,11.97,56
23,2,4,100.0,27.55,0.093,0.17,66
23,6,4,100.0,30.1,0.106,0.34,72
23,12,4,100.0,47.35,0.088,0.12,52
23,18,4,100.0,36.8,0.12,0.43,79
23,24,4,100.0,34.85,0.208,1.07,64
23,30,4,100.0,58.45,0.152,1.37,68
24,2,4,100.0,29.45,0.096,0.0,91
24,6,4,100.0,31.6,0.108,0.1,67
24,12,4,100.0,54.4,0.13,0.04,71
24,18,4,100.0,53.4,0.094,1.28,54
24,24,4,100.0,48.05,0.123,0.17,28
24,30,4,100.0,45.35,0.165,0.29,35
25,2,4,100.0,48.15,0.103,1.39,97
25,6,4,100.0,21.45,0.108,0.02,65
25,12,4,100.0,63.15,0.07,0.04,67
25,18,4,100.0,45.5,0.125,0.36,51
25,24,4,100.0,43.2,0.16,0.99,48
25,30,4,100.0,31.55,0.165,0.1,48
26,2,4,100.0,24.95,0.088,0.03,72
