trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
1,2,10,100.0,34.95,0.075,0.0,5
1,4,10,100.0,90.45,0.082,0.0,73
1,6,10,100.0,69.85,0.087,0.0,243
1,8,10,100.0,68.45,0.135,0.0,405
1,10,10,100.0,46.15,0.136,0.0,942
1,12,10,100.0,38.15,0.211,0.0,983
2,2,10,100.0,44.4,0.084,0.0,6
2,4,10,100.0,42.0,0.113,0.0,58
2,6,10,100.0,42.55,0.168,0.0,296
2,8,10,100.0,42.35,0.157,0.0,350
2,10,10,100.0,62.9,0.154,0.0,637
2,12,10,0.0,240.0,0.207,0.0,1197
3,2,10,100.0,30.4,0.117,0.0,7
3,4,10,100.0,63.2,0.168,0.0,72
3,6,10,100.0,34.85,0.147,0.0,210
3,8,10,100.0,76.05,0.132,0.0,482
3,10,10,0.0,240.0,0.165,0.0,701
3,12,10,0.0,240.0,0.189,0.0,1081
4,2,10,100.0,43.8,0.079,0.0,5
4,4,10,100.0,140.95,0.098,0.0,227
4,6,10,100.0,88.65,0.164,0.0,410
4,8,10,100.0,42.3,0.143,0.0,344
4,10,10,100.0,53.15,0.217,0.0,902
4,12,10,0.0,240.0,0.273,0.0,1395
5,2,10,100.0,25.85,0.289,0.0,10
5,4,10,100.0,31.1,0.403,0.0,72
5,6,10,100.0,46.15,0.602,0.0,206
5,8,10,100.0,54.0,0.375,0.0,409
5,10,10,100.0,63.8,0.323,0.0,857
5,12,10,100.0,79.45,0.377,0.0,1068
6,2,10,100.0,32.75,0.315,0.0,6
6,4,10,100.0,63.6,0.323,0.0,64
6,6,10,100.0,68.65,0.493,0.0,232
6,8,10,100.0,44.8,0.447,0.0,336
6,10,10,100.0,51.8,0.503,0.0,784
6,12,10,100.0,40.85,0.762,0.0,1033
7,2,10,100.0,54.8,0.263,0.0,13
7,4,10,100.0,51.1,0.348,0.0,71
7,6,10,100.0,60.7,0.542,0.0,234
7,8,10,100.0,50.8,0.513,0.0,336
7,10,10,100.0,61.2,0.552,0.0,643
7,12,10,0.0,240.0,0.667,0.0,1067
8,2,10,100.0,40.9,0.155,0.0,8
8,4,10,100.0,57.75,0.466,0.0,87
8,6,10,100.0,60.4,0.286,0.0,219
8,8,10,100.0,56.6,0.576,0.0,420
8,10,10,100.0,81.3,0.433,0.0,789
8,12,10,100.0,110.8,0.522,0.0,2127
9,2,10,100.0,44.7,0.486,0.0,5
9,4,10,100.0,55.05,0.319,0.0,69
9,6,10,100.0,91.1,0.4,0.0,344
9,8,10,100.0,47.5,0.272,0.0,365
9,10,10,100.0,45.15,0.583,0.0,661
9,12,10,100.0,46.8,0.444,0.0,952
10,2,10,100.0,59.05,0.272,0.0,13
10,4,10,100.0,32.1,0.355,0.0,67
10,6,10,100.0,68.85,0.587,0.0,350
10,8,10,100.0,93.8,0.548,0.0,722
10,10,10,100.0,205.2,0.651,0.0,2205
10,12,10,100.0,53.75,0.729,0.0,1292
11,2,10,100.0,40.05,0.237,0.0,9
11,4,10,100.0,54.7,0.416,0.0,120
11,6,10,100.0,54.15,0.377,0.0,204
11,8,10,100.0,43.7,0.505,0.0,384
11,10,10,100.0,53.5,0.292,0.0,755
11,12,10,100.0,56.45,0.435,0.0,898
12,2,10,100.0,40.55,0.299,0.0,5
12,4,10,100.0,93.4,0.41,0.0,170
12,6,10,100.0,61.3,0.376,0.0,200
12,8,10,100.0,44.5,0.734,0.0,434
12,10,10,100.0,74.7,0.532,0.0,978
12,12,10,100.0,136.5,0.549,0.0,968
13,2,10,100.0,40.25,0.287,0.0,8
13,4,10,100.0,43.2,0.44,0.0,55
13,6,10,100.0,42.7,0.383,0.0,235
13,8,10,100.0,43.4,0.36,0.0,293
13,10,10,100.0,163.45,0.336,0.0,823
13,12,10,100.0,79.6,0.507,0.0,1116
14,2,10,100.0,57.3,0.21,0.0,5
14,4,10,100.0,80.8,0.618,0.0,143
14,6,10,100.0,91.8,0.564,0.0,355
14,8,10,100.0,63.05,0.297,0.0,528
14,10,10,100.0,72.1,0.465,0.0,1312
14,12,10,100.0,51.75,0.577,0.0,929
15,2,10,100.0,42.2,0.363,0.0,5
15,4,10,100.0,58.55,0.398,0.0,106
15,6,10,100.0,68.85,0.367,0.0,267
15,8,10,100.0,71.55,0.296,0.0,457
15,10,10,0.0,240.0,0.302,0.0,735
15,12,10,100.0,105.0,0.548,0.0,1683
16,2,10,100.0,41.15,0.251,0.0,8
16,4,10,100.0,58.4,0.265,0.0,59
16,6,10,100.0,39.8,0.454,0.0,202
16,8,10,100.0,69.95,0.409,0.0,354
16,10,10,100.0,42.9,0.476,0.0,824
16,12,10,0.0,240.0,0.496,0.0,992
17,2,10,100.0,53.45,0.434,0.0,5
17,4,10,100.0,48.15,0.38,0.0,85
17,6,10,100.0,40.9,0.434,0.0,234
17,8,10,100.0,133.65,0.262,0.0,783
17,10,10,100.0,49.75,0.447,0.0,598
17,12,10,100.0,186.85,0.433,0.0,994
18,2,10,100.0,49.0,0.231,0.0,7
18,4,10,100.0,41.9,0.296,0.0,51
18,6,10,100.0,73.3,0.326,0.0,421
18,8,10,100.0,80.75,0.344,0.0,350
18,10,10,100.0,53.5,0.292,0.0,600
18,12,10,0.0,240.0,0.51,0.0,928
19,2,10,100.0,38.5,0.238,0.0,5
19,4,10,100.0,51.2,0.438,0.0,65
19,6,10,100.0,58.75,0.445,0.0,262
19,8,10,100.0,46.45,0.278,0.0,379
19,10,10,100.0,107.7,0.359,0.0,1023
19,12,10,100.0,51.4,0.548,0.0,1215
20,2,10,100.0,58.6,0.515,0.0,8
20,4,10,100.0,47.65,0.296,0.0,73
20,6,10,100.0,68.0,0.407,0.0,350
20,8,10,100.0,46.6,0.437,0.0,379
20,10,10,100.0,57.45,0.454,0.0,698
20,12,10,100.0,225.2,0.617,0.0,1349
21,2,10,100.0,43.7,0.241,0.0,5
21,4,10,100.0,206.6,0.356,0.0,254
21,6,10,100.0,128.8,0.592,0.0,248
21,8,10,100.0,152.15,0.446,0.0,621
21,10,10,100.0,123.1,0.249,0.0,1594
21,12,10,0.0,240.0,0.621,0.0,1191
22,2,10,100.0,53.85,0.268,0.0,6
22,4,10,100.0,42.15,0.345,0.0,49
22,6,10,100.0,69.6,0.426,0.0,319
22,8,10,100.0,48.85,0.509,0.0,500
22,10,10,100.0,66.45,0.307,0.0,599
22,12,10,100.0,42.3,0.438,0.0,968
23,2,10,100.0,38.7,0.236,0.0,6
23,4,10,100.0,67.05,0.409,0.0,105
23,6,10,0.0,240.0,0.411,0.0,329
23,8,10,100.0,70.5,0.523,0.0,494
23,10,10,0.0,240.0,0.192,0.0,1079
23,12,10,100.0,48.5,0.534,0.0,1036
24,2,10,100.0,38.7,0.268,0.0,5
24,4,10,100.0,56.65,0.25,0.0,65
24,6,10,100.0,45.75,0.305,0.0,182
24,8,10,100.0,137.75,0.415,0.0,368
24,10,10,100.0,58.9,0.356,0.0,743
24,12,10,100.0,38.9,0.449,0.0,1010
25,2,10,100.0,52.35,0.24,0.0,6
25,4,10,100.0,26.15,0.339,0.0,80
25,6,10,100.0,119.2,0.436,0.0,514
25,8,10,100.0,69.95,0.552,0.0,908
25,10,10,100.0,57.35,0.526,0.0,1058
25,12,10,100.0,57.95,0.461,0.0,1209
26,2,10,100.0,39.0,0.254,0.0,9
26,4,10,100.0,67.0,0.396,0.0,98
26,6,10,100.0,70.7,0.366,0.0,225
26,8,10,100.0,47.15,0.403,0.0,467
26,10,10,100.0,125.85,0.207,0.0,749
