trial_id,config,weight_varied,multiplier,w_D,w_M,w_H,w_R,w_S,success,makespan_s,intimate_exposure_ticks,discomfort_integral,replans
1,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,36.5,0,0.003,475
2,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,37.75,0,0.001,377
3,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,37.75,0,0.001,386
4,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,36.95,0,0.0,426
5,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,45.3,0,0.008,458
6,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,44.25,0,0.022,517
7,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,42.2,0,0.003,367
8,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,43.25,0,0.009,424
9,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,55.85,0,0.05,555
10,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,58.55,0,0.008,409
11,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,59.2,0,0.009,456
12,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,33.45,0,0.012,423
13,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,34.75,0,0.014,415
14,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,52.95,0,0.004,414
15,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,35.45,0,0.023,472
16,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,45.2,0,0.003,404
17,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,39.85,0,0.012,473
18,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,36.85,0,0.024,472
19,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,35.35,0,0.005,463
20,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,39.8,0,0.051,511
21,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,27.0,0,0.065,383
22,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,36.4,0,0.0,400
23,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,43.0,0,0.006,396
24,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,52.75,0,0.217,554
25,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,49.3,0,0.013,405
26,nominal,none,1.0,1.0,1.5,2.0,1.0,1.2,1,83.7,0,0.067,752
